X(mm)	Y(mm)	Z(mm)	Left_x	Left_y	Right_x	Right_y
-8.275	11.960	28.861	249.000	185.000	360.000	205.000
-8.478	13.190	29.207	257.000	195.000	372.000	195.000
-8.453	14.933	29.108	273.000	207.000	388.000	183.000
-9.904	10.060	28.269	217.000	189.000	356.000	234.000
-9.930	11.816	28.390	234.000	202.000	371.000	222.000
-10.024	13.371	28.478	248.000	213.000	386.000	212.000
-10.041	14.960	28.446	262.000	224.000	401.000	201.000
-10.193	16.638	28.407	275.000	236.000	419.000	190.000
-11.430	8.141	27.610	182.000	194.000	350.000	260.000
-11.513	9.864	27.964	201.000	205.000	366.000	249.000
-11.526	11.764	27.986	221.000	218.000	383.000	238.000
-11.567	13.455	28.077	237.000	229.000	399.000	227.000
-11.635	14.963	28.115	250.000	239.000	414.000	217.000
-11.589	16.515	27.841	264.000	250.000	429.000	207.000
-11.931	18.224	27.688	278.000	261.000	453.000	201.000
-12.677	6.567	26.416	153.000	200.000	346.000	287.000
-12.924	8.154	26.945	171.000	211.000	362.000	277.000
-13.026	9.850	27.238	189.000	223.000	377.000	266.000
-13.201	11.586	27.443	206.000	235.000	394.000	256.000
-13.204	13.381	27.488	224.000	246.000	411.000	245.000
-13.332	14.929	27.595	237.000	256.000	427.000	235.000
-13.258	16.616	27.301	253.000	267.000	444.000	225.000
-13.231	18.312	27.114	268.000	277.000	463.000	214.000
-13.043	19.992	26.571	284.000	288.000	482.000	203.000
-14.388	6.448	25.918	137.000	219.000	358.000	304.000
-14.521	8.128	26.237	157.000	231.000	373.000	294.000
-14.701	9.793	26.580	175.000	242.000	389.000	284.000
-14.895	11.565	26.853	193.000	253.000	407.000	274.000
-14.902	13.305	26.904	210.000	264.000	423.000	263.000
-14.922	14.953	26.816	226.000	274.000	440.000	254.000
-14.986	16.781	26.746	242.000	285.000	460.000	243.000
-14.907	18.302	26.608	256.000	293.000	477.000	233.000
-14.816	19.976	26.151	271.000	304.000	497.000	223.000
-16.250	6.001	25.523	115.000	237.000	368.000	322.000
-16.354	7.829	25.687	138.000	250.000	384.000	313.000
-16.848	9.563	26.388	156.000	260.000	404.000	303.000
-16.637	11.350	26.245	177.000	271.000	418.000	293.000
-16.852	12.969	26.444	192.000	281.000	435.000	284.000
-16.684	14.949	26.236	213.000	292.000	454.000	273.000
-16.897	16.582	26.406	226.000	301.000	473.000	263.000
-16.683	18.468	25.918	245.000	312.000	494.000	253.000
-16.601	20.195	25.614	260.000	322.000	515.000	242.000
-17.796	6.334	24.460	105.000	263.000	381.000	340.000
-17.939	8.053	24.845	127.000	273.000	397.000	330.000
-18.114	9.735	25.175	147.000	282.000	414.000	321.000
-18.224	11.557	25.388	167.000	292.000	432.000	311.000
-18.371	13.277	25.499	184.000	302.000	450.000	302.000
-18.459	14.816	25.551	199.000	310.000	467.000	294.000
-18.344	16.527	25.286	216.000	320.000	485.000	285.000
-18.397	18.323	25.220	232.000	329.000	507.000	275.000
-18.342	19.936	24.874	246.000	339.000	527.000	266.000
-19.358	6.313	23.850	91.000	283.000	392.000	356.000
-19.592	8.039	24.227	113.000	293.000	409.000	347.000
-19.786	9.697	24.602	133.000	301.000	426.000	338.000
-19.836	11.438	24.743	153.000	310.000	443.000	329.000
-20.001	13.101	24.862	170.000	319.000	461.000	321.000
-19.955	14.805	24.738	188.000	328.000	479.000	313.000
-20.023	16.631	24.755	205.000	337.000	500.000	303.000
-20.056	18.149	24.594	219.000	345.000	519.000	296.000
-19.970	19.841	24.259	235.000	354.000	541.000	288.000
