# X(mm)	Y(mm)	Z(mm)
-4.772	10.840	43.187
-5.061	12.776	43.507
-5.137	14.271	43.334
-6.589	8.877	41.840
-6.740	10.710	42.239
-6.935	12.736	42.342
-7.140	14.365	42.368
-7.712	16.059	42.396
-8.524	6.821	40.445
-8.407	8.718	41.015
-8.567	10.677	41.083
-8.854	12.588	41.631
-8.976	14.146	41.692
-9.128	15.981	41.602
-9.267	18.045	41.396
-9.910	4.829	38.957
-10.145	6.720	39.442
-10.327	8.605	39.818
-10.618	10.482	40.218
-10.830	12.486	40.325
-10.985	14.473	40.471
-11.164	15.933	40.513
-11.346	17.996	40.531
-11.432	19.896	40.155
-11.637	4.906	37.565
-12.012	6.668	38.165
-12.203	8.491	38.641
-12.464	10.439	38.820
-12.739	12.339	39.147
-12.908	14.272	39.191
-13.250	16.206	39.590
-13.350	17.892	39.346
-13.399	19.775	38.970
-13.745	4.535	36.614
-13.827	6.826	36.701
-14.145	8.739	37.043
-14.458	10.574	37.603
-14.662	12.471	37.679
-14.941	14.054	37.905
-15.052	15.502	37.987
-15.159	17.612	37.803
-15.549	19.990	38.075
-15.481	4.871	35.137
-15.758	6.590	35.581
-16.108	8.440	36.039
-16.385	10.273	36.411
-16.693	12.142	36.715
-16.949	14.077	36.845
-17.063	15.638	36.791
-17.294	17.601	36.685
-17.492	19.321	36.613
-17.171	4.878	33.869
-17.511	6.609	34.457
-17.856	8.370	34.854
-18.146	10.178	35.191
-18.479	12.036	35.505
-18.668	14.005	35.548
-18.924	15.412	35.572
-19.083	17.457	35.487
-19.322	19.176	35.270
