# X(mm)	Y(mm)	Z(mm)
-8.206	13.228	29.560
-8.267	14.936	29.609
-8.174	16.214	29.363
-9.861	11.575	28.972
-9.817	13.210	29.087
-9.777	14.996	28.990
-9.775	16.418	28.858
-10.066	17.928	28.750
-11.635	9.796	28.306
-11.383	11.516	28.569
-11.321	13.266	28.476
-11.368	14.986	28.660
-11.296	16.349	28.545
-11.210	17.938	28.303
-11.076	19.697	27.943
-12.994	8.024	27.576
-13.031	9.768	27.811
-13.006	11.492	27.942
-13.058	13.206	28.059
-13.014	15.004	27.959
-12.910	16.761	27.854
-12.879	18.037	27.723
-12.765	19.811	27.493
-12.578	21.407	27.021
-14.473	8.116	26.798
-14.642	9.777	27.123
-14.620	11.468	27.316
-14.632	13.256	27.295
-14.640	14.986	27.335
-14.538	16.708	27.167
-14.570	18.424	27.203
-14.416	19.872	26.843
-14.185	21.465	26.373
-16.360	7.850	26.330
-16.215	9.970	26.290
-16.286	11.765	26.399
-16.337	13.483	26.616
-16.268	15.213	26.491
-16.292	16.652	26.474
-16.178	17.935	26.357
-15.954	19.771	25.981
-15.908	21.814	25.836
-17.883	8.184	25.464
-17.964	9.827	25.692
-18.058	11.589	25.880
-18.069	13.313	25.979
-18.081	15.051	26.005
-18.019	16.816	25.888
-17.871	18.203	25.661
-17.752	19.935	25.355
-17.626	21.418	25.075
-19.432	8.230	24.738
-19.547	9.908	25.050
-19.643	11.602	25.206
-19.664	13.325	25.294
-19.678	15.067	25.320
-19.532	16.869	25.132
-19.520	18.148	24.986
-19.298	19.954	24.663
-19.189	21.456	24.300
