X(mm)	Y(mm)	Z(mm)	Left_x	Left_y	Right_x	Right_y
-8.206	13.228	29.560	228.000	133.000	337.000	146.000
-8.267	14.936	29.609	241.000	144.000	350.000	135.000
-8.174	16.214	29.363	251.000	153.000	358.000	126.000
-9.861	11.575	28.972	202.000	138.000	337.000	170.000
-9.817	13.210	29.087	216.000	148.000	348.000	159.000
-9.777	14.996	28.990	231.000	159.000	361.000	148.000
-9.775	16.418	28.858	242.000	168.000	372.000	139.000
-10.066	17.928	28.750	253.000	177.000	389.000	133.000
-11.635	9.796	28.306	170.000	146.000	335.000	193.000
-11.383	11.516	28.569	190.000	152.000	347.000	182.000
-11.321	13.266	28.476	206.000	163.000	359.000	172.000
-11.368	14.986	28.660	220.000	172.000	373.000	161.000
-11.296	16.349	28.545	231.000	180.000	383.000	152.000
-11.210	17.938	28.303	244.000	189.000	396.000	142.000
-11.076	19.697	27.943	258.000	199.000	411.000	130.000
-12.994	8.024	27.576	143.000	147.000	334.000	216.000
-13.031	9.768	27.811	161.000	158.000	346.000	206.000
-13.006	11.492	27.942	178.000	168.000	358.000	196.000
-13.058	13.206	28.059	193.000	178.000	371.000	186.000
-13.014	15.004	27.959	209.000	188.000	385.000	176.000
-12.910	16.761	27.854	224.000	197.000	399.000	165.000
-12.879	18.037	27.723	234.000	204.000	410.000	157.000
-12.765	19.811	27.493	248.000	213.000	426.000	145.000
-12.578	21.407	27.021	261.000	222.000	441.000	134.000
-14.473	8.116	26.798	132.000	165.000	344.000	229.000
-14.642	9.777	27.123	149.000	175.000	357.000	220.000
-14.620	11.468	27.316	166.000	184.000	369.000	210.000
-14.632	13.256	27.295	183.000	194.000	383.000	201.000
-14.640	14.986	27.335	198.000	203.000	397.000	191.000
-14.538	16.708	27.167	213.000	212.000	411.000	181.000
-14.570	18.424	27.203	226.000	220.000	427.000	170.000
-14.416	19.872	26.843	238.000	228.000	440.000	161.000
-14.185	21.465	26.373	252.000	236.000	456.000	151.000
-16.360	7.850	26.330	114.000	182.000	355.000	244.000
-16.215	9.970	26.290	139.000	194.000	369.000	234.000
-16.286	11.765	26.399	157.000	204.000	383.000	225.000
-16.337	13.483	26.616	173.000	212.000	397.000	215.000
-16.268	15.213	26.491	189.000	221.000	411.000	206.000
-16.292	16.652	26.474	201.000	228.000	424.000	198.000
-16.178	17.935	26.357	212.000	234.000	435.000	190.000
-15.954	19.771	25.981	228.000	243.000	452.000	179.000
-15.908	21.814	25.836	243.000	252.000	474.000	165.000
-17.883	8.184	25.464	105.000	203.000	367.000	257.000
-17.964	9.827	25.692	124.000	211.000	380.000	249.000
-18.058	11.589	25.880	142.000	220.000	394.000	240.000
-18.069	13.313	25.979	159.000	228.000	408.000	231.000
-18.081	15.051	26.005	175.000	236.000	423.000	222.000
-18.019	16.816	25.888	191.000	244.000	439.000	213.000
-17.871	18.203	25.661	203.000	251.000	451.000	205.000
-17.752	19.935	25.355	218.000	259.000	469.000	196.000
-17.626	21.418	25.075	230.000	266.000	485.000	187.000
-19.432	8.230	24.738	93.000	221.000	378.000	271.000
-19.547	9.908	25.050	112.000	229.000	391.000	262.000
-19.643	11.602	25.206	130.000	237.000	405.000	254.000
-19.664	13.325	25.294	148.000	244.000	420.000	246.000
-19.678	15.067	25.320	164.000	252.000	435.000	237.000
-19.532	16.869	25.132	181.000	260.000	451.000	228.000
-19.520	18.148	24.986	192.000	266.000	464.000	222.000
-19.298	19.954	24.663	208.000	274.000	482.000	212.000
-19.189	21.456	24.300	221.000	281.000	500.000	205.000
